# SinBongAi CTS encoding mapping data
# Source: references/SinBongAi/CTS/CTS.php

====================================================================================================
## 1. Tai-lo Unicode Map ($map_tailo - 110 entries)
====================================================================================================
Number     | Unicode Char(s)      | Hex Codes                      
e5         | ˆ                        | U+02C6
e7         | ‰                        | U+2030
e8         | ˜                        | U+02DC
o2         | à                        | U+00E0
o3         | •                        | U+2022
o5         | â                        | U+00E2
o7         | ã                        | U+00E3
ou2        | £                        | U+00A3
ou3        | ¤                        | U+00A4
ou5        | ¥                        | U+00A5
ou7        | ¦                        | U+00A6
ou8        | §                        | U+00A7
m2         | Ê                        | U+00CA
m3         | Ë                        | U+00CB
m5         | Ì                        | U+00CC
m8         | Í                        | U+00CD
n5         | Ç                        | U+00C7
n7         | È                        | U+00C8
n8         | É                        | U+00C9
u2         | Ý                        | U+00DD
u3         | Ü                        | U+00DC
u7         | á                        | U+00E1
u8         | ™                        | U+2122
A2         | û                        | U+00FB
A3         | ú                        | U+00FA
A5         | ñ                        | U+00F1
A7         | Î                        | U+00CE
I3         | À                        | U+00C0
U5         | Ù                        | U+00D9
E2         | ³                        | U+00B3
E3         | ´                        | U+00B4
E7         | Â                        | U+00C2
E8         | Ã                        | U+00C3
O2         | Ó                        | U+00D3
O3         | Ò                        | U+00D2
O5         | Ô                        | U+00D4
O8         | Õ                        | U+00D5
O7         | Ö                        | U+00D6
OU2        | ¬                        | U+00AC
OU3        | «                        | U+00AB
OU7        | °                        | U+00B0
OU8        | ¯                        | U+00AF
M3         | ª                        | U+00AA
M5         | ±                        | U+00B1
M8         | ²                        | U+00B2
U2         | Ú                        | U+00DA
U5         | Ä                        | U+00C4
U7         | Û                        | U+00DB
U8         | Ñ                        | U+00D1
ou         | ¨                        | U+00A8
OU         | œ                        | U+0153
nn         | Á                        | U+00C1
a8         | †                        | U+0086
u8         | å                        | U+00E5
o8         | ß                        | U+00DF
m7         | Þ                        | U+00DE
n2         | Å                        | U+00C5
n3         | Æ                        | U+00C6
u5         | ‡                        | U+0087
A8         | Ï                        | U+00CF
I2         | ¼                        | U+00BC
I5         | ½                        | U+00BD
I7         | ¾                        | U+00BE
I8         | ¿                        | U+00BF
U2         | Ø                        | U+00D8
U3         | ×                        | U+00D7
U7         | ÿ                        | U+00FF
U8         | þ                        | U+00FE
E5         | µ                        | U+00B5
OU5        | ­                        | U+00AD
M2         | ®                        | U+00AE
M7         | ©                        | U+00A9
N2         | ¹                        | U+00B9
N3         | ¸                        | U+00B8
N5         | º                        | U+00BA
N7         | ·                        | U+00B7
N8         | »                        | U+00BB
U3         | Ð                        | U+00D0
